,Date,Value,roi_x,roi_Value_x,roi_Value_percent_x,month_mean_Value_x,month_roi_x,USD (PM),roi_y,roi_Value_y,roi_Value_percent_y,month_mean_Value_y,month_roi_y,have_money,deal_bitcoin,deal_gold,have_bitcoin,have_gold,buy_Value,sale_Value,buy_USD (PM),sale_USD (PM)
0,2016-09-11,621.65,0.0,0.0,0.0,606.3935,1,1324.6,0.0,0.0,0.0,1323.4833333333331,1.0,1000.0,0.0,0.0,0.0,0.0,634.083,609.217,1337.846,1311.3539999999998
1,2016-09-12,609.67,-1.0,-11.980000000000018,-1.9271294136572057,606.3935,1,1324.6,0.0,0.0,0.0,1323.4833333333331,1.0,,,,,,621.8634,597.4766,1337.846,1311.3539999999998
2,2016-09-13,610.92,1.0,1.25,0.2050289500877524,606.3935,1,1323.65,-1.0,-0.949999999999818,-0.0717197644571809,1323.4833333333331,1.0,,,,,,623.1383999999999,598.7016,1336.8865,1310.4135
3,2016-09-14,608.82,-1.0,-2.099999999999909,-0.3437438617167402,606.3935,1,1321.75,-1.0,-1.900000000000091,-0.1435424772409693,1323.4833333333331,-1.0,,,,,,620.9964000000001,596.6436,1334.9675,1308.5325
4,2016-09-15,610.38,1.0,1.5599999999999454,0.2562333694687995,606.3935,1,1310.8,-1.0,-10.950000000000044,-0.8284471344808053,1323.4833333333331,-1.0,,,,,,622.5876,598.1724,1323.908,1297.692
5,2016-09-16,609.11,-1.0,-1.2699999999999818,-0.2080671057374065,606.3935,1,1308.35,-1.0,-2.450000000000045,-0.1869087580103788,1323.4833333333331,-1.0,,,,,,621.2922,596.9278,1321.4334999999999,1295.2665
6,2016-09-17,607.04,-1.0,-2.07000000000005,-0.3398400945642084,606.3935,1,1308.35,0.0,0.0,0.0,1323.4833333333331,-1.0,,,,,,619.1808,594.8992,1321.4334999999999,1295.2665
7,2016-09-18,611.58,1.0,4.540000000000077,0.7478914074855162,606.3935,1,1308.35,0.0,0.0,0.0,1323.4833333333331,-1.0,,,,,,623.8116,599.3484000000001,1321.4334999999999,1295.2665
8,2016-09-19,610.19,-1.0,-1.3899999999999864,-0.2272801595866422,606.3935,1,1314.85,1.0,6.5,0.4968089578476707,1323.4833333333331,-1.0,,,,,,622.3938,597.9862,1327.9985,1301.7015
9,2016-09-20,608.66,-1.0,-1.5300000000000864,-0.2507415722971675,606.3935,1,1313.8,-1.0,-1.0499999999999543,-0.0798570179107848,1323.4833333333331,-1.0,,,,,,620.8332,596.4867999999999,1326.9379999999999,1300.662
10,2016-09-21,598.88,-1.0,-9.779999999999973,-1.6068083987776385,606.3935,-1,1326.1,1.0,12.299999999999956,0.9362155579235772,1323.4833333333331,1.0,,,,,,610.8576,586.9024,1339.3609999999999,1312.839
11,2016-09-22,597.42,-1.0,-1.4600000000000364,-0.2437884050227151,606.3935,-1,1339.1,1.0,13.0,0.9803182263781012,1323.4833333333331,1.0,,,,,,609.3684,585.4716,1352.491,1325.7089999999998
12,2016-09-23,594.08,-1.0,-3.339999999999918,-0.5590706705500181,606.3935,-1,1338.65,-1.0,-0.4499999999998181,-0.0336046598461517,1323.4833333333331,1.0,,,,,,605.9616000000001,582.1984,1352.0365000000002,1325.2635
13,2016-09-24,603.88,1.0,9.799999999999956,1.6496094802046786,606.3935,-1,1338.65,0.0,0.0,0.0,1323.4833333333331,1.0,,,,,,615.9576,591.8024,1352.0365000000002,1325.2635
14,2016-09-25,601.74,-1.0,-2.1399999999999864,-0.3543750413989512,606.3935,-1,1338.65,0.0,0.0,0.0,1323.4833333333331,1.0,,,,,,613.7748,589.7052,1352.0365000000002,1325.2635
15,2016-09-26,598.98,-1.0,-2.759999999999991,-0.4586698574134993,606.3935,-1,1340.5,1.0,1.849999999999909,0.1381989317596017,1323.4833333333331,1.0,,,,,,610.9596,587.0004,1353.905,1327.095
